title,runtime,rating,boxOffice
Black Panther,134,7.3,700059566
Avengers: Infinity War,149,8.5,678815482
Les indestructibles 2,118,7.7,608581744
Jurassic World: Fallen Kingdom,128,6.2,417719760
Aquaman,143,7,335061807
Deadpool 2,119,7.7,324591735
Le Grinch,85,6.3,270620950
Mission impossible: Fallout,147,7.8,220159104
Ant-Man et la Guêpe,118,7.1,216648740
Bohemian Rhapsody,134,8,216428042
A Star Is Born,136,7.7,215288866
Solo: A Star Wars Story,135,7,213767512
Venom,112,6.7,213515506
Ralph 2.0,112,7.1,201091711
Spider-Man: New Generation,117,8.4,190241310
Sans un bruit,90,7.5,188024361
Crazy Rich Asians,120,6.9,174532921
Le retour de Mary Poppins,130,6.8,171958438
Hotel Transylvania 3: Summer Vacation,97,6.3,167510016
Les animaux fantastiques: Les crimes de Grindelwald,134,6.6,159555901
Halloween,106,6.6,159342015
En eaux troubles,113,5.7,143005856
Ocean's 8,110,6.2,139377762
Ready Player One,140,7.5,137690172
Bumblebee,114,6.8,127195589
Mamma Mia! Here We Go Again,114,6.7,120634935
La nonne,96,5.4,117443149
Creed II,130,7.2,115715889
Pierre Lapin,95,6.5,115253424
La mule,116,7,103804407
Equalizer 2,121,6.7,102084362
Rampage - Hors de contrôle,107,6.1,101028233
A Wrinkle in Time,109,4.2,100478608
Cinquante Nuances Plus Claires,105,4.5,100407760
Christopher Robin,104,7.3,99215042
Green Book: Sur les routes du sud,130,8.2,85080171
La Voix du pardon,110,7.4,83482352
Yéti & Compagnie,96,6.6,83240103
Back to school,111,5.6,77339130
American Nightmare 4: les origines,98,5.1,69086325
Game Night,100,6.9,69001013
Le Book Club,104,6.1,68566296
La prophétie de l'horloge,105,6,68549695
Skyscraper,102,5.8,67796355
Apprentis parents,118,7.3,67363237
Insidious: la dernière clé,103,5.7,67347895
Pacific Rim: Uprising,111,5.6,59874525
Contrôle parental,102,6.2,59839515
Le Labyrinthe: Le remède mortel,143,6.2,58032443
Tomb Raider,119,6.3,57421715
