year	title	genre
2018	Black Panther	Action
2018	Avengers: Infinity War	Action
2018	Les indestructibles 2	Animation
2018	Jurassic World: Fallen Kingdom	Aventure
2018	Deadpool 2	Action
2018	Le Grinch	Animation
2018	Aquaman	Action
2018	Mission impossible: Fallout	Aventure
2018	Ant-Man et la Guêpe	Action
2018	Solo: A Star Wars Story	Aventure
2018	Venom	Action
2018	A Star Is Born	Drame
2018	Bohemian Rhapsody	Biopic
2018	Ralph 2.0	Animation
2018	Sans un bruit	Horreur
2018	Crazy Rich Asians	Comédie
2018	Hotel Transylvania 3: Summer Vacation	Animation
2018	Halloween	Horreur
2018	Les animaux fantastiques: Les crimes de Grindelwald	Aventure
2018	En eaux troubles	Action
2018	Ocean's 8	Comédie
2018	Ready Player One	Aventure
2018	Mamma Mia! Here We Go Again	Comédie
2018	La nonne	Horreur
2018	Pierre Lapin	Animation
2018	Le Retour de Mary Poppins	Comédie
2018	Spider-Man: New Generation	Animation
2018	Creed 2	Drame
2018	Equalizer 2	Action
2018	Un raccourci dans le temps	Aventure
